Time,Pot_value,Therm_value
0,0,511
200,0,511
401,0,511
602,0,511
802,0,511
1002,0,511
1203,0,510
1403,0,511
1604,0,510
1805,0,510
2006,0,510
2206,0,510
2407,0,510
2608,0,510
2808,0,510
3009,0,510
3210,0,510
3410,0,510
3611,0,510
3812,0,510
4013,0,510
4213,0,510
4414,0,510
4615,0,510
4815,0,510
5016,0,510
5217,0,510
5417,0,510
5618,0,510
5819,0,510
6020,0,510
6220,0,510
6421,0,510
6622,0,510
6822,0,510
7023,0,510
7224,0,510
7425,0,510
7625,0,510
7826,0,510
8027,0,509
8227,0,510
8428,0,509
8629,0,509
8829,0,510
9030,0,510
9231,0,510
9432,0,510
9632,0,509
9833,0,509
10034,0,509
10234,0,509
10435,0,509
10636,0,509
10836,0,509
11037,0,510
11238,0,510
11439,0,509
11639,0,509
11840,0,509
12041,0,509
12241,0,509
12442,0,509
12643,0,510
12844,0,510
13044,0,509
13245,0,510
13446,0,510
13646,0,510
13847,0,509
14048,0,509
14248,0,510
14449,0,510
14650,0,509
14851,0,509
15051,0,509
15252,0,509
15453,0,510
15653,0,509
15854,0,509
16055,0,509
16256,0,510
16456,0,510
16658,0,510
16859,0,509
17059,0,509
17260,0,510
17461,0,510
17661,0,509
17862,0,510
18063,0,510
18264,0,510
18464,0,509
18665,0,510
18866,2,510
19066,16,510
19267,30,510
19468,39,510
19668,49,510
19869,57,510
20070,65,509
20271,73,510
20471,77,510
20672,79,509
20873,83,509
21074,86,510
21275,90,510
21476,95,510
21677,105,510
21877,112,510
22078,118,510
22279,123,509
22479,130,510
22680,135,510
22881,139,510
23081,144,509
23283,145,510
23484,150,510
23685,153,510
23885,158,510
24086,165,510
24287,173,509
24487,175,510
24688,179,510
24889,185,510
25091,189,510
25291,192,510
25492,201,510
25693,209,510
25893,215,510
26094,218,510
26295,223,510
26496,228,510
26696,237,510
26898,243,510
27099,248,510
27299,256,510
27500,264,510
27701,273,510
27901,280,510
28102,288,510
28303,296,510
28504,307,511
28705,321,510
28906,330,511
29107,338,511
29307,346,510
29508,355,510
29709,363,511
29910,370,511
30110,376,511
30311,386,511
30513,393,511
30713,400,511
30914,408,511
31115,418,511
31315,430,511
31516,434,511
31717,435,512
31918,434,511
32118,435,511
32320,434,511
32521,439,511
32721,448,511
32922,457,512
33123,463,512
33324,462,512
33524,462,512
33725,462,511
33926,462,512
34127,462,512
34328,462,511
34529,462,512
34729,462,511
34930,462,512
35131,462,512
35332,462,512
35532,462,512
35733,462,512
35935,462,512
36135,462,512
36336,462,512
36537,461,512
36738,462,512
36938,461,512
37139,462,512
37340,462,512
37541,462,512
37742,462,512
37943,462,512
38144,462,512
38344,465,512
38545,480,512
38746,495,512
38946,511,512
39147,526,512
39349,539,512
39549,551,512
39750,560,512
39951,570,512
